Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.360000000,0.000000000,1260315270.440000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.450000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.460000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.470000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.480000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.490000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.500000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.510000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.520000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.000000000,1260315270.530000000,516880.36,70.52,1,44.634,5.45,44.9655029550432,6.96159543827484,-1.48,0.17,30.1581081081081,-32.0588235294118,30.9958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
