Time from start of file (s),Time from initialisation (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Latitude (deg),Longitude (deg),Altitude (m),Distance horizontal (m),Velocity forward (m/s),Velocity lateral (m/s),Velocity down (m/s),Speed horizontal (m/s),Number of GPS satellites used (),GPS position mode (),GPS velocity mode (),GPS dual antenna attitude mode (),Heading (deg),Pitch (deg),Roll (deg),Slip angle (deg),Angular rate forward (deg/s),Angular rate lateral (deg/s),Angular rate down (deg/s),Angular rate Xv (deg/s),Angular rate Yv (deg/s),Angular rate Zv (deg/s),Acceleration forward (m/s²),Acceleration lateral (m/s²),Acceleration down (m/s²),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²)
0.590000000,0.000000000,0.010000000,1260572759.590000000,169559.59,38.0163786223977,-122.013305232686,0.100000001490116,0.00400027967761644,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.600000000,0.010000000,0.020000000,1260572759.600000000,169559.6,38.0163785885762,-122.013305217061,0.100000001490116,0.00800036861139932,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.610000000,0.020000000,0.030000000,1260572759.610000000,169559.61,38.0163785547547,-122.013305201436,0.100000001490116,0.012000552917099,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.620000000,0.030000000,0.040000000,1260572759.620000000,169559.62,38.0163785209333,-122.013305185811,0.100000001490116,0.0160007372227986,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.630000000,0.040000000,0.050000000,1260572759.630000000,169559.63,38.0163784871118,-122.013305170186,0.100000001490116,0.0200010169004151,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.640000000,0.050000000,0.060000000,1260572759.640000000,169559.64,38.0163784532903,-122.013305154561,0.100000001490116,0.0240012012061147,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.650000000,0.060000000,0.070000000,1260572759.650000000,169559.65,38.0163784194689,-122.013305138936,0.100000001490116,0.0280012901398976,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.660000000,0.070000000,0.080000000,1260572759.660000000,169559.66,38.0163783856474,-122.01330512331,0.100000001490116,0.0320015698175141,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.670000000,0.080000000,0.090000000,1260572759.670000000,169559.67,38.0163783518259,-122.013305107685,0.100000001490116,0.0360017541232137,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.680000000,0.090000000,0.100000000,1260572759.680000000,169559.68,38.0163783180045,-122.01330509206,0.100000001490116,0.0400019384289134,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.690000000,0.100000000,0.110000000,1260572759.690000000,169559.69,38.016378284183,-122.013305076435,0.100000001490116,0.0440020273626963,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.700000000,0.110000000,0.120000000,1260572759.700000000,169559.7,38.0163782503615,-122.01330506081,0.100000001490116,0.0480023070403127,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.710000000,0.120000000,0.130000000,1260572759.710000000,169559.71,38.0163782165401,-122.013305045185,0.100000001490116,0.0520024913460124,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.720000000,0.130000000,0.140000000,1260572759.720000000,169559.72,38.0163781827186,-122.01330502956,0.100000001490116,0.056002675651712,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.730000000,0.140000000,0.150000000,1260572759.730000000,169559.73,38.0163781488971,-122.013305013935,0.100000001490116,0.0600027645854949,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.740000000,0.150000000,0.160000000,1260572759.740000000,169559.74,38.0163781150757,-122.01330499831,0.100000001490116,0.0640030442631113,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.750000000,0.160000000,0.170000000,1260572759.750000000,169559.75,38.0163780812542,-122.013304982685,0.100000001490116,0.0680033239407278,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.760000000,0.170000000,0.180000000,1260572759.760000000,169559.76,38.0163780474328,-122.013304967059,0.100000001490116,0.0720034128745106,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.770000000,0.180000000,0.190000000,1260572759.770000000,169559.77,38.0163780136113,-122.013304951434,0.100000001490116,0.0760035971802103,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.780000000,0.190000000,0.200000000,1260572759.780000000,169559.78,38.0163779797898,-122.013304935809,0.100000001490116,0.08000378148591,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.790000000,0.200000000,0.210000000,1260572759.790000000,169559.79,38.0163779459684,-122.013304920184,0.100000001490116,0.0840040611635264,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.800000000,0.210000000,0.220000000,1260572759.800000000,169559.8,38.0163779121469,-122.013304904559,0.100000001490116,0.0880041500973093,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
0.810000000,0.220000000,0.230000000,1260572759.810000000,169559.81,38.0163778783254,-122.013304888934,0.100000001490116,0.092004334403009,-0.400018811932544,-1.00038101217559E-05,0,0.400018812057633,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,-179.99856712714,0,0,0,0,0,0,0,0,0,0,0,0
