,timestamp_sec,position_x,position_y,heading
385,3.836733102798462,586636.603716,4208052.5608709995,2.622003
386,3.8446481227874756,586636.603509,4208052.5609639995,2.622011
387,3.861722230911255,586636.603257,4208052.5610690005,2.6220310000000002
388,3.868485927581787,586636.602943,4208052.561195,2.622041
389,3.876439094543457,586636.602592,4208052.561358,2.6220470000000002
390,3.8845620155334473,586636.602191,4208052.561542,2.6220470000000002
391,3.9041049480438232,586636.601734,4208052.561752,2.622052
392,3.909090042114258,586636.6012329999,4208052.561995,2.622059
393,3.918977975845337,586636.600667,4208052.562275,2.6220630000000003
394,3.925395965576172,586636.600044,4208052.562564,2.622062
395,3.940608024597168,586636.59934,4208052.562879,2.622076
396,3.948399066925049,586636.59855,4208052.563262001,2.622088
397,3.9566280841827393,586636.5976890001,4208052.56367,2.622087
398,3.9645938873291016,586636.5967649999,4208052.564092,2.622086
399,3.981405019760132,586636.595761,4208052.564565,2.622093
400,3.9888949394226074,586636.594639,4208052.565132,2.622105
401,3.998734951019287,586636.5934479999,4208052.565707,2.622102
402,4.006326913833618,586636.592172,4208052.566311,2.622104
403,4.0242390632629395,586636.590778,4208052.566999,2.622122
404,4.028620958328247,586636.589271,4208052.567741999,2.6221330000000003
405,4.0376200675964355,586636.587693,4208052.568505,2.6221389999999998
406,4.045825958251953,586636.585999,4208052.569333,2.6221650000000003
407,4.0607099533081055,586636.584176,4208052.570255999,2.622185
408,4.0720720291137695,586636.582278,4208052.57118,2.622184
409,4.076426029205322,586636.580263,4208052.572179,2.622201
410,4.084420919418335,586636.578124,4208052.573268,2.622224
411,4.095940113067627,586636.5758689999,4208052.574406,2.622242
412,4.110224008560181,586636.5735010001,4208052.575553,2.6222540000000003
413,4.11668586730957,586636.570992,4208052.576819,2.622268
414,4.127279996871948,586636.568355,4208052.578147,2.622292
415,4.140778064727783,586636.565589,4208052.579515,2.622317
416,4.151779890060425,586636.562687,4208052.58097,2.622331
417,4.157641172409058,586636.559654,4208052.5824959995,2.622358
418,4.1649720668792725,586636.556477,4208052.584098999,2.62239
419,4.180459976196289,586636.553127,4208052.585783,2.6224119999999997
420,4.188225984573364,586636.549599,4208052.58754,2.622448
421,4.196981191635132,586636.545899,4208052.5894019995,2.6224819999999998
422,4.20435094833374,586636.54204,4208052.591339,2.622519
423,4.2137250900268555,586636.5380149999,4208052.593355999,2.622558
424,4.228255033493042,586636.533815,4208052.5954599995,2.622579
425,4.236254930496216,586636.529435,4208052.597662999,2.62262
426,4.245437860488892,586636.5248649999,4208052.599951999,2.622657
427,4.260426044464111,586636.520125,4208052.602321,2.622687
428,4.2691731452941895,586636.5152060001,4208052.604718,2.622887
429,4.277317047119141,586636.5100270001,4208052.607203,2.622922
430,4.287976980209351,586636.504613,4208052.609805999,2.6229720000000003
431,4.29796290397644,586636.49896,4208052.612527,2.6230189999999998
432,4.3093321323394775,586636.493116,4208052.615296,2.623061
433,4.316681146621704,586636.487039,4208052.618226999,2.6231150000000003
434,4.3254430294036865,586636.4807279999,4208052.621265,2.623164
435,4.333428859710693,586636.474175,4208052.624419,2.623217
436,4.348174095153809,586636.467374,4208052.627661,2.623271
437,4.356378078460693,586636.460294,4208052.631080001,2.623321
438,4.364251136779785,586636.452965,4208052.6346269995,2.623382
439,4.38401198387146,586636.445386,4208052.6383,2.623448
440,4.3896849155426025,586636.437517,4208052.642068,2.62352
441,4.397438049316406,586636.429389,4208052.646008,2.62359
442,4.4043519496917725,586636.420987,4208052.65008,2.623654
443,4.420284986495972,586636.412332,4208052.654251,2.623742
444,4.4287590980529785,586636.4034289999,4208052.658591,2.623823
445,4.436305999755859,586636.394291,4208052.663041,2.6239060000000003
446,4.44438099861145,586636.38492,4208052.667606,2.623991
447,4.453723192214966,586636.375305,4208052.672301,2.624083
448,4.4697980880737305,586636.365478,4208052.677061,2.624167
449,4.476207971572876,586636.3553810001,4208052.681997,2.624255
450,4.488758087158203,586636.345049,4208052.68705,2.6243529999999997
451,4.5025858879089355,586636.334446,4208052.692233999,2.624458
452,4.5120849609375,586636.323563,4208052.697501,2.624548
453,4.5164618492126465,586636.3124060001,4208052.702961,2.624635
454,4.525135040283203,586636.300967,4208052.708556,2.624734
455,4.540258169174194,586636.28922,4208052.714249,2.624828
456,4.552123069763184,586636.277191,4208052.72013,2.62492
457,4.559967041015625,586636.264875,4208052.726155001,2.625019
458,4.564358949661255,586636.252288,4208052.732316,2.625126
459,4.573529005050659,586636.23945,4208052.738603,2.625222
460,4.589169025421143,586636.226356,4208052.744969,2.625324
461,4.596081018447876,586636.212994,4208052.7515199995,2.6254310000000003
462,4.604184150695801,586636.199364,4208052.758199,2.625537
463,4.621283054351807,586636.1854770001,4208052.764994999,2.6256369999999998
464,4.629159927368164,586636.171372,4208052.771869999,2.625738
465,4.636181116104126,586636.157001,4208052.778914,2.6258470000000003
466,4.644248008728027,586636.142375,4208052.786080999,2.6259490000000003
467,4.662085056304932,586636.127497,4208052.793375,2.626057
468,4.668012857437134,586636.1124,4208052.800729,2.62616
469,4.67632794380188,586636.09705,4208052.808253,2.626262
470,4.688576936721802,586636.0814680001,4208052.815882,2.626376
471,4.6954920291900635,586636.065654,4208052.823633,2.626493
472,4.708338022232056,586636.049645,4208052.831417,2.626611
473,4.71602201461792,586636.033387,4208052.839366,2.6267259999999997
474,4.724206209182739,586636.01692,4208052.84742,2.626845
475,4.741765975952148,586636.000249,4208052.855585,2.626959
476,4.749248027801514,586635.9833729999,4208052.863779,2.6270860000000003
477,4.75938606262207,586635.96628,4208052.872134,2.627201
