timestamp_sec;id;theta;type;position_x;position_y;position_z;velocity_x;velocity_y;velocity_z;acceleration_x;acceleration_y;acceleration_z;
1580256990.544710;84238;1.155592;3;586615.432791;4208097.991905;-9.768873;1.152028;0.147922;0.000000;0.006076;0.000711;0.000000;
1580256991.647910;84243;0.940230;3;586615.110217;4208097.903806;-9.888374;-0.000000;0.000000;0.000000;-0.000240;-0.000113;0.000000;
1580256991.736846;84243;0.773397;3;586614.848245;4208097.883678;-9.839752;-0.846000;-0.106370;0.000000;-0.034770;-0.004402;0.000000;
1580256991.839710;84243;1.014899;3;586614.654129;4208097.853390;-9.878263;-1.233566;-0.166458;0.000000;-0.021327;-0.002930;0.000000;
1580256992.054529;84243;0.574212;3;586615.004596;4208097.990599;-9.815343;-1.074050;-0.111054;0.000000;-1.477624;-0.150422;0.000000;
1580256992.256371;84243;0.481916;3;586614.798614;4208097.862248;-9.899297;-1.086086;-0.284023;0.000000;-0.860324;-0.309774;0.000000;
1580256992.356691;84243;0.639849;3;586615.268373;4208097.856203;-9.852489;-0.788367;-0.253102;0.000000;0.313887;-0.234057;0.000000;
1580256992.431267;84243;0.435595;3;586615.236403;4208097.908664;-9.831713;-0.405832;-0.156795;0.000000;1.285378;-0.164554;0.000000;
1580256992.507594;84243;0.763823;3;586615.065822;4208097.885205;-9.803065;-0.495045;-0.173419;0.000000;1.837437;0.198690;0.000000;
1580256992.585350;84243;0.492961;3;586615.084308;4208097.903353;-9.768332;-0.311292;-0.143816;0.000000;1.789538;0.326154;0.000000;
1580256992.686122;84243;0.377055;3;586614.740583;4208097.891901;-9.922947;-0.455328;-0.177121;0.000000;0.537722;0.068967;0.000000;
1580256992.914487;84243;0.340166;3;586615.209844;4208097.781291;-9.877399;-0.182976;-0.185402;0.000000;0.765127;0.004891;0.000000;
1580256992.968496;84243;1.073386;3;586614.970333;4208097.630582;-9.834676;-0.381222;-0.327359;0.000000;0.157236;-0.323225;0.000000;
1580256993.036511;84243;0.579859;3;586614.944888;4208097.550659;-9.746004;-0.362459;-0.663462;0.000000;0.229792;-0.979129;0.000000;
1580256993.106843;84243;0.474850;3;586614.978660;4208097.442668;-9.707698;-0.168887;-0.849342;0.000000;0.124569;-1.903237;0.000000;
1580256993.214123;84243;0.272316;3;586614.908097;4208097.394815;-9.884997;-0.216992;-0.817436;0.000000;0.434843;-1.844149;0.000000;
1580256993.274452;84243;0.291407;3;586614.952156;4208097.227443;-9.849942;-0.042968;-0.925384;0.000000;0.911412;-1.293732;0.000000;
1580256993.365007;84243;0.237108;3;586614.558692;4208097.053087;-9.794571;-0.321079;-1.048493;0.000000;-0.032681;-0.952275;0.000000;
1580256993.517656;84243;0.273331;3;586614.891876;4208097.063172;-9.737337;-0.188573;-1.065029;0.000000;0.064627;-0.937167;0.000000;
1580256993.583102;84243;-0.009222;3;586615.244621;4208097.094041;-9.677518;0.090015;-1.066660;0.000000;0.344879;-0.682502;0.000000;
1580256993.724499;84243;0.006298;3;586614.915434;4208096.974156;-9.155228;-0.077172;-1.042606;0.000000;0.695677;-0.241623;0.000000;
1580256993.808623;84243;-0.141497;3;586615.108578;4208096.860837;-9.877589;0.210984;-1.002478;0.000000;1.195984;0.052427;0.000000;
1580256993.874026;84243;0.022110;3;586615.109039;4208096.813653;-9.843703;0.296974;-0.999494;0.000000;0.592722;0.004080;0.000000;
1580256993.967030;84243;0.021363;3;586615.184024;4208096.663396;-9.722051;0.359665;-0.988156;0.000000;0.816651;0.237695;0.000000;
1580256994.063001;84243;0.015447;3;586614.780667;4208096.531076;-9.713930;0.416479;-0.968017;0.000000;0.496023;0.212078;0.000000;
1580256994.171786;84243;0.035976;3;586614.759461;4208096.456741;-9.896437;0.435883;-0.948505;0.000000;0.052813;0.222562;0.000000;
1580256994.277142;84243;0.042387;3;586614.957849;4208096.309986;-9.994400;0.440698;-0.902871;0.000000;0.011568;0.287004;0.000000;
1580256994.371054;84243;0.052542;3;586614.916050;4208096.247951;-10.021543;0.424342;-0.878516;0.000000;-0.217404;0.268205;0.000000;
1580256994.527017;84243;-0.144562;3;586614.519114;4208096.077953;-9.910183;0.351424;-0.834543;0.000000;-0.546541;0.228201;0.000000;
1580256994.634854;84243;-0.142462;3;586614.613768;4208096.082511;-9.842315;0.299623;-0.811577;0.000000;-0.544074;0.262721;0.000000;
1580256994.717509;84243;-0.114811;3;586614.632473;4208096.026004;-9.818456;-0.262917;-0.694042;0.000000;-0.401080;0.298409;0.000000;
1580256994.908811;84243;0.195940;3;586614.580572;4208095.780801;-9.738535;-0.286520;-0.789679;0.000000;-0.252810;0.231131;0.000000;
1580256995.011597;84243;-0.248520;3;586614.543368;4208095.599148;-9.673608;-0.300626;-0.901877;0.000000;-0.351250;0.133629;0.000000;
1580256995.101782;84243;-0.347113;3;586614.533572;4208095.511740;-9.921909;-0.220395;-0.932349;0.000000;-0.053057;-0.363215;0.000000;
1580256995.201757;84243;-0.326016;3;586614.555510;4208095.463448;-9.710827;-0.132306;-1.048545;0.000000;0.339277;-0.734594;0.000000;
1580256995.307210;84243;0.080664;3;586614.570350;4208095.357692;-9.597613;-0.046859;-1.069487;0.000000;0.717699;-0.658969;0.000000;
1580256995.368150;84243;0.121726;3;586614.581926;4208095.368759;-8.929225;-0.033245;-0.791454;0.000000;0.698129;0.094948;0.000000;
1580256995.496008;84243;-0.156161;3;586614.613610;4208095.301504;-9.887039;0.022615;-0.819264;0.000000;0.620534;0.565342;0.000000;
1580256995.575326;84243;-0.108931;3;586614.643150;4208095.219166;-9.905618;0.197994;-0.838659;0.000000;0.807910;0.741967;0.000000;
1580256995.653023;84243;-0.129423;3;586614.718176;4208095.142873;-9.903608;0.266148;-1.017603;0.000000;1.001377;-0.266537;0.000000;
1580256995.768824;84243;-0.037144;3;586614.701085;4208094.969709;-9.865929;0.300898;-1.035539;0.000000;1.021140;-0.597320;0.000000;
1580256995.884176;84243;-0.023022;3;586614.729262;4208095.002446;-9.875062;0.319206;-1.044393;0.000000;0.660845;-0.696576;0.000000;
1580256995.993074;84243;-0.098749;3;586614.768075;4208094.857127;-9.859873;0.326192;-1.052971;0.000000;0.388752;-0.335547;0.000000;
1580256996.113942;84243;-0.150943;3;586614.792592;4208094.711901;-9.855718;0.308210;-1.077202;0.000000;0.164932;-0.225028;0.000000;
1580256996.247940;84243;-0.394797;3;586614.793365;4208094.555307;-9.502079;0.220283;-1.093401;0.000000;-0.168510;-0.200996;0.000000;
1580256996.357559;84243;0.002602;3;586614.806611;4208094.608785;-9.850728;0.190582;-0.877790;0.000000;-0.376015;0.339930;0.000000;
1580256996.452972;84243;0.037737;3;586614.912007;4208094.260878;-9.854337;0.187588;-0.867997;0.000000;-0.301639;0.411816;0.000000;
1580256996.548687;84243;0.110175;3;586614.909947;4208094.200937;-9.855587;0.261973;-0.917713;0.000000;-0.050637;0.397192;0.000000;
1580256996.636707;84243;0.013054;3;586615.013798;4208093.988997;-9.861870;0.262424;-0.834234;0.000000;0.063822;0.198811;0.000000;
1580256996.702121;84243;-0.050748;3;586614.971482;4208093.995433;-9.859063;0.262766;-0.945426;0.000000;0.151063;-0.061637;0.000000;
1580256996.774607;84243;-0.035971;3;586615.022436;4208093.906385;-9.856693;0.272381;-1.042694;0.000000;0.072552;-0.241648;0.000000;
