index,hesitateTime,startDelay,walkDistance,rho
0,2.3075227727374816,8.459067039296237,6.810715801166118,6.26329755783081
1,2.5589890109531943,8.361957270374143,5.379267085773626,4.02213096618652
2,1.4247464202339242,7.504585963341619,6.796306792627138,5.67479562759399
3,2.9281815030117944,8.017225926337767,4.531852936835814,1.55759072303772
4,1.198416058487423,9.428123463412309,5.46210274917993,5.77104234695435
5,1.5238012253746038,7.448568567746656,5.34456430712487,4.2696681022644
6,2.5882916112314875,7.3775320086582665,6.392402958730767,6.64131784439087
7,1.5939278097961695,9.053120747457728,5.675307698170592,7.15997552871704
8,1.0035243779952614,9.89439745464818,4.5064101106173995,3.69618558883667
9,1.0503549349801842,9.369849414708707,5.7741289204056105,7.22479677200317
10,2.0110320249122857,9.782056325896479,5.177669844953693,5.31142091751099
11,2.799907026565923,9.897590677414563,6.837775986632749,7.9203314781189
12,2.7263179023057846,8.057056950915008,6.974974901732341,6.58334732055664
13,1.6601925936350934,7.38642393715069,5.940245769423373,5.48992109298706
14,1.971107355606506,9.519943605065189,6.250846194613049,6.46750354766846
15,2.512254973341581,8.17323224799334,5.63963012678762,2.20220303535461
16,1.7962335176685318,9.935262990651594,4.882417284044848,2.42343544960022
17,2.0953856256502457,9.18790173247911,6.754222996449469,6.39761114120483
18,1.2230087083758618,9.154482168214395,5.49502112366304,5.99463844299316
19,2.4665066732860526,9.802418126964874,4.74678507738685,2.6400363445282
20,2.677302193682462,8.993564974480893,5.463234245492501,2.73346662521362
21,2.7008718084937424,8.837952673880938,6.752839807745859,8.39815711975098
22,2.8192088810817855,8.768114907462149,4.171586479135881,1.58156418800354
23,2.2249120651443715,7.4933915373999245,5.349266012066003,4.99845170974731
24,1.6910409413110992,9.439418915823927,6.697880497543083,8.08427906036377
25,1.2854721454747844,8.80013392803422,4.406314417341559,3.81252932548523
26,1.8047275911999827,9.367738541544766,5.833216210395726,8.07669162750244
27,2.3945392311977174,8.540095459476113,6.693533823052252,6.16953945159912
28,1.9271060756286345,9.227303647622772,6.67592806787754,7.14288520812988
29,2.6055245286836612,7.397509217196353,5.526684126294653,3.64480876922607
30,2.8118334688069373,8.432428074287072,5.993212150170638,6.53016471862793
31,1.0643486062150216,7.614843783350512,5.84589349722437,5.68424987792969
32,1.3688345655417342,7.096542443006376,5.842479162468209,4.96262788772583
33,1.0513534328884255,9.023719396579946,6.761693157920526,5.86415719985962
34,2.0760659973028033,8.224690394315559,6.7832083888244235,6.28272581100464
35,2.841800974631813,8.543268861797342,5.203801871516836,2.63036131858826
36,2.283893108121785,9.696407172228964,5.147410874473108,5.29710626602173
37,2.8973504629103712,8.134820544978105,4.616423477825156,1.50552344322205
38,2.8375009902644948,8.970416149530987,4.984430667264742,2.7343430519104
39,1.634864987390233,8.794236985976676,4.436535491407817,3.13444542884827
40,2.7079070808597847,9.151898299421472,6.571695965386579,7.70313405990601
41,2.852372493221554,9.74336483001936,4.473705976380366,2.69907927513123
42,2.579028090029089,7.584183582471825,4.406000498005751,1.44576919078827
43,1.2541383607250773,9.352279915453103,5.578549298970182,5.47000169754028
44,2.4828651211180057,9.623087939702824,5.327007265258008,2.85109615325928
45,2.7873017469779633,9.111385201130247,5.2176150288116325,4.67152404785156
46,1.8658800373949473,9.545042909463628,6.778772035186277,5.19471645355225
47,2.789265884829348,7.311549293769114,6.138610660661417,8.20958042144775
48,2.753085949046813,7.67760071314388,5.282193859718175,1.49506318569183
49,2.158146425675233,7.643075212005611,5.540000011367672,3.3538498878479
50,2.7557439871024503,7.925072311287171,5.425402148224068,3.64109969139099
51,2.8031103649132048,8.498695628799151,4.601787106244236,1.58258044719696
52,2.5166028618218634,8.575925014641617,4.66720161750669,3.75340676307678
53,2.7453465877294203,8.985071665765037,5.9818488257160745,7.87161779403687
54,2.7223037425625263,7.543597948477204,4.650447851276541,1.77205610275269
55,2.9539881549075684,7.3698229468154395,5.665796859420372,5.93683099746704
56,2.9790148049065306,8.943368995522285,4.523280238412666,2.67645668983459
57,1.415617456057875,7.9456652567654436,5.078533229329302,3.85901165008545
58,2.6697559654166945,8.428360290376133,6.074030487657005,6.17803573608398
59,1.694122592430766,7.40583187436365,4.776540141122924,3.37108755111694
60,1.7140999308714109,7.88699169510344,4.9745557153386795,4.89038467407227
61,1.1733025738185077,8.065364317020958,6.791037224857979,5.46564960479736
62,2.0167319266953707,7.77563120658879,5.622950166136279,4.19571781158447
63,2.5152631751915377,8.348777372272888,5.582325535100447,7.01286840438843
64,1.6294954604689686,9.332422302962437,5.699841560706615,6.86551284790039
65,1.0486596049210282,9.444960846798402,4.923278443314732,4.35214948654175
66,1.8318180143109488,7.740397837549643,6.169641471234957,5.74285411834717
67,2.6728110289337117,8.11301010596074,6.528539765453241,7.73609447479248
68,2.1182173820275656,8.346317377103997,5.533452972044584,2.66630506515503
69,1.0574757838786895,9.884496399359843,6.068287184944648,7.77789211273193
